Designator,Mid X,Mid Y,Rotation,Layer
C1,184.925,-80.36,0.0,bottom
C10,187.58,-86.84,90.0,bottom
C11,190.53,-86.245,90.0,bottom
C12,195.9,-85.69,90.0,bottom
C13,192.89,-98.51,270.0,bottom
C14,195.09,-75.9,0.0,bottom
C15,188.5,-73.79,180.0,bottom
C16,195.97,-100.13,0.0,bottom
C17,198.38,-100.13,180.0,bottom
C18,71.2,-81.32,270.0,bottom
C19,90.25,-79.415,270.0,bottom
C2,182.595,-92.1,0.0,bottom
C20,109.3,-69.89,270.0,bottom
C21,128.35,-64.175,270.0,bottom
C22,147.4,-73.7,270.0,bottom
C23,166.45,-75.605,270.0,bottom
C24,81.2,-102.07,270.0,bottom
C25,100.25,-100.165,270.0,bottom
C26,119.3,-90.64,270.0,bottom
C27,138.35,-84.925,270.0,bottom
C28,157.4,-94.45,270.0,bottom
C29,176.45,-96.355,270.0,bottom
C3,193.85,-85.68,90.0,bottom
C30,71.2,-119.42,270.0,bottom
C31,90.25,-117.515,270.0,bottom
C32,109.3,-107.99,270.0,bottom
C33,128.35,-102.275,270.0,bottom
C34,147.4,-111.8,270.0,bottom
C35,166.45,-113.705,270.0,bottom
C36,150.7325,-135.4075,270.0,bottom
C37,170.675767,-139.663644,285.0,bottom
C38,196.584308,-135.56,210.0,bottom
C39,189.5,-117.62,90.0,bottom
C4,194.87,-85.68,90.0,bottom
C40,234.1,-85.69,90.0,bottom
C41,231.09,-98.51,270.0,bottom
C42,228.73,-86.245,90.0,bottom
C43,226.7,-73.79,180.0,bottom
C44,233.29,-75.9,0.0,bottom
C45,223.125,-80.36,0.0,bottom
C46,229.6,-117.62,90.0,bottom
C47,227.12,-86.245,90.0,bottom
C48,225.78,-86.84,90.0,bottom
C49,220.795,-92.1,0.0,bottom
C5,193.94,-98.49,270.0,bottom
C50,232.05,-85.68,90.0,bottom
C51,233.07,-85.68,90.0,bottom
C52,234.17,-100.13,0.0,bottom
C53,226.15,-93.7,0.0,bottom
C54,226.36,-90.05,0.0,bottom
C55,236.58,-100.13,180.0,bottom
C56,230.0,-98.5,270.0,bottom
C57,232.14,-98.49,270.0,bottom
C58,252.65,-77.305,270.0,bottom
C59,271.7,-75.4,270.0,bottom
C6,191.8,-98.5,270.0,bottom
C60,290.75,-65.875,270.0,bottom
C61,309.8,-71.59,270.0,bottom
C62,328.85,-81.115,270.0,bottom
C63,347.9,-83.02,270.0,bottom
C64,242.65,-94.655,270.0,bottom
C65,261.7,-92.75,270.0,bottom
C66,280.75,-83.225,270.0,bottom
C67,299.8,-88.94,270.0,bottom
C68,318.85,-98.465,270.0,bottom
C69,337.9,-100.37,270.0,bottom
C7,187.95,-93.7,0.0,bottom
C70,252.65,-115.405,270.0,bottom
C71,271.7,-113.02,270.0,bottom
C72,290.75,-103.975,270.0,bottom
C73,309.8,-109.69,270.0,bottom
C74,328.85,-119.215,270.0,bottom
C75,347.9,-121.12,270.0,bottom
C76,223.784308,-134.34,330.0,bottom
C77,247.6,-138.1,255.0,bottom
C78,268.3675,-133.7075,270.0,bottom
C79,181.1,-94.5,0.0,bottom
C8,188.16,-90.05,0.0,bottom
C80,184.0,-94.5,180.0,bottom
C81,239.08,-69.35,180.0,bottom
C82,235.9,-69.3,0.0,bottom
C9,188.92,-86.245,90.0,bottom
D1,185.64,-75.1,90.0,bottom
D2,223.84,-75.1,90.0,bottom
J1,190.45,-65.805,180.0,bottom
J2,200.8,-116.805,270.0,bottom
J3,228.65,-65.805,180.0,bottom
J4,218.3,-116.805,90.0,bottom
LED1,76.2,-82.52,0.0,bottom
LED10,133.35,-84.425,180.0,bottom
LED11,152.4,-93.95,180.0,bottom
LED12,171.45,-95.855,180.0,bottom
LED13,76.2,-120.62,0.0,bottom
LED14,95.25,-118.715,0.0,bottom
LED15,114.3,-109.19,0.0,bottom
LED16,133.35,-103.475,0.0,bottom
LED17,152.4,-113.0,0.0,bottom
LED18,171.45,-114.905,0.0,bottom
LED19,145.7325,-134.9075,180.0,bottom
LED2,95.25,-80.615,0.0,bottom
LED20,166.258351,-137.935284,195.0,bottom
LED21,194.030269,-139.239259,120.0,bottom
LED22,247.65,-76.805,180.0,bottom
LED23,266.7,-74.9,180.0,bottom
LED24,285.75,-65.375,180.0,bottom
LED25,304.8,-71.09,180.0,bottom
LED26,323.85,-80.615,180.0,bottom
LED27,342.9,-82.52,180.0,bottom
LED28,247.65,-95.855,0.0,bottom
LED29,266.7,-93.95,0.0,bottom
LED3,114.3,-71.09,0.0,bottom
LED30,285.75,-84.425,0.0,bottom
LED31,304.8,-90.14,0.0,bottom
LED32,323.85,-99.665,0.0,bottom
LED33,342.9,-101.57,0.0,bottom
LED34,247.65,-114.905,180.0,bottom
LED35,266.7,-113.0,180.0,bottom
LED36,285.75,-103.475,180.0,bottom
LED37,304.8,-109.19,180.0,bottom
LED38,323.85,-118.715,180.0,bottom
LED39,342.9,-120.62,180.0,bottom
LED4,133.35,-65.375,0.0,bottom
LED40,225.069731,-139.239259,60.0,bottom
LED41,252.841649,-137.935284,345.0,bottom
LED42,273.3675,-134.9075,0.0,bottom
LED5,152.4,-74.9,0.0,bottom
LED6,171.45,-76.805,0.0,bottom
LED7,76.2,-101.57,180.0,bottom
LED8,95.25,-99.665,180.0,bottom
LED9,114.3,-90.14,180.0,bottom
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_12,323.7,-66.6,0.0,top
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_11,176.7,-62.8,0.0,top
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_10,110.3,-124.8,0.0,top
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_9,93.8,-66.6,0.0,top
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_8,340.9,-124.8,0.0,top
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_7,78.2,-124.8,0.0,top
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_6,327.7,-66.6,0.0,top
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_5,248.8,-62.8,0.0,top
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_4,97.8,-66.6,0.0,top
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_3,308.8,-124.8,0.0,top
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING_2,172.7,-62.8,0.0,top
MOUSBITES 0.5MM NPTH WITH 0.3MM SPACING,244.8,-62.8,0.0,top
R1,188.72,-71.97,270.0,bottom
R10,231.0,-85.7,270.0,bottom
R11,230.0,-85.7,270.0,bottom
R12,236.01,-75.91,0.0,bottom
R13,226.92,-71.97,270.0,bottom
R14,232.16,-72.01,270.0,bottom
R15,234.17,-98.91,180.0,bottom
R16,237.5,-69.7,270.0,bottom
R2,193.96,-72.01,270.0,bottom
R3,192.8,-85.7,270.0,bottom
R4,191.8,-85.7,270.0,bottom
R5,197.81,-75.91,0.0,bottom
R6,200.01,-75.9,0.0,bottom
R7,195.97,-98.91,180.0,bottom
R8,182.6,-94.01,90.0,bottom
R9,238.21,-75.9,0.0,bottom
SW1,74.85,-74.82,180.0,top
SW10,132.0,-76.725,180.0,top
SW11,151.05,-86.25,180.0,top
SW12,170.1,-88.155,180.0,top
SW13,74.85,-112.92,180.0,top
SW14,93.9,-111.015,180.0,top
SW15,112.95,-101.49,180.0,top
SW16,132.0,-95.775,180.0,top
SW17,151.05,-105.3,180.0,top
SW18,170.1,-107.205,180.0,top
SW19,144.3825,-127.2075,180.0,top
SW2,93.9,-72.915,180.0,top
SW20,167.050105,-130.516396,165.0,top
SW21,187.435559,-135.809707,240.0,top
SW22,246.3,-69.105,180.0,top
SW23,265.35,-67.2,180.0,top
SW24,284.4,-57.675,180.0,top
SW25,303.45,-63.39,180.0,top
SW26,322.5,-72.915,180.0,top
SW27,341.55,-74.82,180.0,top
SW28,246.3,-88.155,180.0,top
SW29,265.35,-86.25,180.0,top
SW3,112.95,-63.39,180.0,top
SW30,284.4,-76.725,180.0,top
SW31,303.45,-82.44,180.0,top
SW32,322.5,-91.965,180.0,top
SW33,341.55,-93.87,180.0,top
SW34,246.3,-107.205,180.0,top
SW35,265.35,-105.3,180.0,top
SW36,284.4,-95.775,180.0,top
SW37,303.45,-101.49,180.0,top
SW38,322.5,-111.015,180.0,top
SW39,341.55,-112.92,180.0,top
SW4,132.0,-57.675,180.0,top
SW40,231.66444,-134.69381,120.0,top
SW41,249.770538,-130.516396,195.0,top
SW42,272.0175,-127.2075,180.0,top
SW5,151.05,-67.2,180.0,top
SW6,170.1,-69.105,180.0,top
SW7,74.85,-93.87,180.0,top
SW8,93.9,-91.965,180.0,top
SW9,112.95,-82.44,180.0,top
SW98,198.26,-73.16,0.0,bottom
SW99,236.46,-73.16,0.0,bottom
U1,193.49,-92.67,90.0,bottom
U10,221.59,-86.23,90.0,bottom
U11,229.74,-73.5475,270.0,bottom
U12,237.35,-67.25,0.0,bottom
U2,183.39,-86.23,90.0,bottom
U3,196.39,-79.7,270.0,bottom
U4,191.54,-73.5475,270.0,bottom
U5,192.4,-117.1,180.0,bottom
U6,182.6,-96.9,180.0,bottom
U7,234.59,-79.7,270.0,bottom
U8,226.7,-117.1,0.0,bottom
U9,231.69,-92.67,90.0,bottom
Y1,197.2,-102.83,180.0,bottom
Y2,235.4,-102.83,180.0,bottom
